Number,Order of Magnitude,Time
2966151291,9,4.867072
2054266831,9,3.987456
2773857469,9,4.716544
6118794231,9,3.9936
2075574901,9,3.999744
1945029283,9,4.027392
1964277527,9,3.992576
5000982571,9,4.001792
2749013253,9,3.990528
8269602347,9,4.015104
8448009127,9,4.009984
8774847081,9,3.9936
8084131351,9,4.936704
4672090079,9,3.991552
5150568887,9,3.997696
3751601003,9,3.995648
4589415713,9,3.995648
5492369079,9,4.288512
5616674807,9,3.994624
2914985477,9,3.989504
5920255411,9,4.027392
1993612737,9,3.987456
2594237571,9,3.991552
2879401481,9,4.871168
1498004893,9,3.986432
9222085693,9,3.995648
9017675029,9,4.932608
7082152539,9,3.994624
8190221307,9,4.88448
2783143107,9,4.329472
8424653179,9,3.995648
6938154003,9,4.860928
3723559871,9,4.886528
8255447717,9,4.022272
2482271397,9,3.990528
3980539327,9,4.139008
1572913933,9,3.985408
2913581969,9,4.87936
1156370743,9,4.85888
7792211187,9,4.9152
3589372429,9,4.025344
3532496343,9,4.878336
1431440067,9,3.986432
8311498183,9,4.87936
9683198167,9,3.995648
8041977329,9,4.004864
6101853159,9,4.02944
4214520077,9,3.990528
6886148561,9,3.992576
5553020491,9,4.901888
2409060859,9,4.001792
3065557913,9,4.854784
3338345989,9,3.990528
2633542579,9,4.012032
66410255567,10,5.0944
72868523907,10,4.037632
14497483487,10,4.757504
22361683319,10,4.007936
34519167461,10,4.0192
14842917157,10,3.999744
52498537367,10,4.036608
19742190277,10,4.030464
11772163879,10,3.995648
46873321697,10,4.00896
73746867951,10,4.038656
15972026093,10,4.000768
66254559689,10,4.20864
78246319357,10,4.006912
93935312433,10,4.909056
41920872871,10,4.885504
54425591099,10,4.908032
29649803489,10,3.997696
90354928971,10,4.011008
24054451603,10,3.996704
31788406317,10,4.00896
17970950093,10,4.058112
95022376917,10,4.046848
14992155463,10,4.021248
91239000933,10,4.328448
42237251501,10,4.042752
27822018719,10,4.002816
75184318497,10,4.009984
43785620851,10,4.002816
68461628183,10,4.01408
29226105903,10,4.002816
69075271269,10,4.007936
40620363837,10,4.890624
55588019879,10,4.00384
87071263223,10,4.907008
95958899251,10,4.269056
36884573281,10,3.999744
20184621817,10,4.000768
89664611067,10,4.00896
98913832629,10,4.011008
26873834129,10,4.001792
99781455859,10,4.009984
61781383851,10,4.011008
49306370061,10,4.294656
30714085007,10,4.875264
90091477381,10,4.952064
36878625263,10,5.019648
59263092347,10,4.052992
98358762691,10,4.012032
47232685237,10,4.035584
51503328129,10,4.038656
36708927001,10,4.43392
28565555529,10,4.875264
95186863181,10,4.013056
21468584009,10,4.905984
30198157893,10,4.00384
48696754723,10,4.00384
62295686079,10,4.02944
58850646679,10,4.009984
58383037947,10,4.004864
36479716557,10,4.00384
73691147343,10,4.013056
92132575487,10,4.788224
34949055843,10,4.043776
83821528859,10,4.047872
77641514777,10,4.02944
38362879477,10,4.002816
53822380749,10,4.012032
61330703489,10,4.035584
14194778829,10,3.994624
48158436301,10,4.00384
41022588303,10,4.001792
33167155027,10,4.041728
23102244097,10,3.999744
41304429929,10,4.016128
94208762387,10,4.022272
35368743163,10,4.0192
98929252353,10,4.01408
77525383199,10,4.036608
69794383137,10,4.01408
47091126679,10,4.031488
84909446631,10,4.957184
37485486307,10,4.001792
60798265211,10,4.004864
50160162863,10,4.006912
40352841731,10,4.004864
45888593313,10,4.017152
12118314529,10,4.160512
13389177227,10,4.144128
19796154573,10,3.996672
36544026833,10,4.92544
89561601311,10,4.01408
10550601489,10,3.997696
16816376949,10,3.997696
27204640053,10,4.005888
62461091601,10,4.027392
69972995101,10,4.005888
96988955627,10,4.596736
58508207211,10,4.006912
44547311557,10,4.018176
576191299567,11,4.04992
442686733563,11,4.04992
675719717023,11,4.06528
687307578857,11,4.050944
712474224323,11,4.93568
252548617613,11,4.033536
776782292569,11,4.790272
807940335851,11,4.9664
917649633679,11,4.084736
731949109673,11,4.05504
862438897821,11,4.081664
724722574731,11,4.051968
519920646893,11,4.912128
257412121217,11,4.040704
429039454271,11,4.067328
703893798821,11,4.094976
408298363739,11,4.036608
913873162443,11,4.36736
495625464987,11,4.918272
945075531941,11,4.07552
172013472439,11,4.918272
416661144791,11,4.097024
750742811511,11,4.096
821604054007,11,4.062208
833392972833,11,4.081664
296357202543,11,4.066304
157372418593,11,4.299776
143919527827,11,4.022272
998378557169,11,4.064256
483474396767,11,4.045824
448257947891,11,4.08064
805594109899,11,4.056064
857919491603,11,4.06016
971322522183,11,4.073472
582778583699,11,4.05504
861499214151,11,4.071424
927763139423,11,4.061184
873057274489,11,4.374528
312550548929,11,4.216832
866927741641,11,4.061184
281709375467,11,4.08064
560084880903,11,4.045824
622454900209,11,4.054016
316125135939,11,4.031488
206497538839,11,4.020224
567489594923,11,4.196352
727604704393,11,4.061184
269007419917,11,4.02944
270603177139,11,4.035584
334838933269,11,4.463616
792089071477,11,4.95104
550200277391,11,4.047872
746016610883,11,4.957184
539130586819,11,4.04992
846957691517,11,4.103168
384735325749,11,4.037632
349313214761,11,4.926464
673565696741,11,4.06016
186708290591,11,4.056064
739982723301,11,4.08576
710921634647,11,4.806656
804069838279,11,4.65408
444185602977,11,4.042752
810175927743,11,4.068352
657512259637,11,4.097024
681238975229,11,4.07552
952646741781,11,4.08576
941778558031,11,4.062208
446464625989,11,4.041728
873123363799,11,4.066304
479833464513,11,4.926464
275133469977,11,4.900864
410674595433,11,4.972544
364060059411,11,4.649984
769659404921,11,4.09088
274328584361,11,4.030464
842702532303,11,4.058112
585543953639,11,4.04992
138507278573,11,4.017152
130163075611,11,4.04272
922523706249,11,4.092928
682617599287,11,4.051968
667485824713,11,4.052992
459438551239,11,4.19328
127823828877,11,4.01408
632953102011,11,4.052992
824290805523,11,4.058112
483376605577,11,4.992
767862194551,11,4.067328
899350855979,11,4.078592
243301638207,11,4.95616
123054897043,11,4.909056
391105094499,11,4.035584
454317771303,11,4.0448
865464864589,11,4.059136
693041764163,11,4.09088
686743854449,11,5.1712
676760829003,11,4.050944
884849169303,11,4.059136
438416768559,11,4.040704
5538338508853,12,4.184064
1041969619801,12,4.072448
5519587390889,12,4.178944
1595554642547,12,4.08576
9173226483239,12,4.226048
2495657904367,12,4.11136
4127466382819,12,4.15232
6701807213829,12,4.190208
3186317480261,12,4.125696
9264081271279,12,4.250624
8258034816099,12,4.214784
6973879320409,12,4.206592
4606779254583,12,4.156416
5442290465529,12,4.169728
7497460414629,12,4.212736
5545029716319,12,4.171776
8294437949199,12,4.214784
8887589283801,12,4.220928
3568309496691,12,4.1472
4726956194487,12,4.443136
5746802630399,12,4.201472
5404047116251,12,4.173824
5314010130349,12,4.206592
5886212780037,12,4.204544
6621433257073,12,4.228096
8050530873979,12,4.21888
8547569956647,12,4.25472
8886526794943,12,4.221952
9386172137639,12,4.232192
9128480226831,12,5.240832
3049111789967,12,4.127744
2117770439721,12,4.405248
2191032747193,12,4.801536
7972067868561,12,4.209664
8178790237511,12,4.560896
6668948624789,12,4.194304
6444243449083,12,4.197376
3792385918319,12,4.14208
5403714045371,12,4.194304
1795253909577,12,4.09088
9595907413647,12,4.233216
2961605421423,12,5.01248
2422318928263,12,4.108288
8628205480583,12,4.228096
5421851486899,12,4.209664
8902048196609,12,4.224
5003648777923,12,4.16256
1963444849979,12,4.097024
4340354483209,12,4.175872
7763681722081,12,5.072896
2876997662359,12,4.124672
9120368458023,12,4.226048
1007724450841,12,4.100096
5182000649591,12,4.197376
6966996612453,12,4.217856
9388004998303,12,4.23424
9705943710277,12,4.238336
1351132644167,12,4.088832
6642508517209,12,4.190208
4951707035439,12,4.190208
1879102209851,12,4.15744
7831804154441,12,4.250624
5911748489901,12,4.180992
2411408943877,12,4.115456
6762543385641,12,4.191232
8153844487389,12,4.238336
1610731282863,12,4.093952
6771170973287,12,4.192736
8152642960649,12,4.216832
3460135189449,12,4.133888
5983406611959,12,5.082112
4962369990547,12,4.161536
9634547279141,12,4.23424
3421892991219,12,4.880384
2412767673919,12,4.996096
3235755587933,12,4.59776
7717299035363,12,4.207616
8762361715473,12,4.220928
4860203070349,12,4.170752
9496682206589,12,4.236288
7131261265911,12,4.202496
9995301398139,12,4.236288
8476364252627,12,4.222976
6064447650147,12,4.201472
6196196916119,12,4.18304
5968193415807,12,5.049344
1481392297611,12,4.081664
1255438043331,12,4.089856
1642325840107,12,4.108288
6991917567103,12,4.1984
6253525258651,12,4.185088
8180809967287,12,4.211712
2150068579849,12,4.102144
9676028305043,12,5.123072
5807836372033,12,4.178944
2736711599641,12,4.11648
6600558608161,12,4.190208
1459735753103,12,4.08064
2829356133061,12,4.120576
3267753283939,12,4.132864
13075628361541,13,4.2752
28692319096163,13,4.410368
12455804086091,13,4.302848
11281675352699,13,4.255744
75783436551503,13,4.678656
65526868592849,13,4.624384
26539374672959,13,4.39296
41099962108701,13,4.504576
66183887443241,13,5.633024
10402075666699,13,4.243456
10072824186313,13,5.117952
14105523430587,13,4.287488
24101760689463,13,4.379648
54036762714909,13,4.598784
13196326461903,13,4.274176
22491628844847,13,5.508096
61332963841339,13,4.608
78042491641671,13,4.70016
38841838670237,13,4.486144
75107946449073,13,4.673536
74681540838291,13,4.68992
39908380733817,13,4.487168
11110291947469,13,4.250624
63408584530769,13,4.621312
37536944531957,13,4.48
43797269408733,13,4.5312
80155054095453,13,4.691968
71788584320373,13,4.657152
78879447331231,13,4.69504
67594466278587,13,4.637696
93004525890489,13,4.759552
53006422042713,13,5.44256
42512092053783,13,4.540416
15610943134061,13,4.299776
85076090433213,13,4.728832
74833483930921,13,5.600256
61200141269959,13,4.609024
81848145538457,13,5.600256
23560504346633,13,4.415488
56684932565789,13,4.9152
35392734930569,13,5.363712
91064442873073,13,5.548032
98956505192869,13,5.696512
93154933796437,13,5.635072
36729931935551,13,4.486144
27862946886377,13,4.412416
64550603007387,13,4.630528
73731122711779,13,4.690944
80288392773901,13,4.696064
62720008196887,13,4.61312
13904422260827,13,4.284416
27009368757547,13,4.443136
17302961143577,13,4.315136
51920226112389,13,5.50912
44750018256433,13,4.521984
43027746574797,13,4.507648
60290119795471,13,4.601856
36492328278153,13,4.923392
33619496751137,13,4.44928
92961726408443,13,4.749312
31364981433931,13,4.46464
26100510847793,13,5.295104
69948203799587,13,4.690944
65182238305093,13,4.663296
14876685748179,13,4.301824
85021884234169,13,4.727808
77323475651013,13,4.839424
34331719127377,13,4.478976
44506929317021,13,5.409792
87795252830797,13,5.31456
18787187150337,13,5.216256
34760445013927,13,4.452352
76662734574779,13,4.6848
64241628677237,13,4.645888
14501031063239,13,4.303872
95609337367069,13,4.768768
39103111634557,13,5.380096
50070521436253,13,4.573184
69657243733419,13,4.653056
82733936092667,13,5.5808
51068732506059,13,4.573184
18154086845133,13,4.342784
43069184741741,13,5.41696
75677642713401,13,4.677632
67739496768971,13,5.367808
73024930643627,13,4.66432
67936513919713,13,4.653056
25059532130821,13,5.339136
33290268476949,13,4.626432
29233590392567,13,4.419584
61049215726147,13,4.6592
24846197948133,13,4.400128
95760594458813,13,4.800512
57033484351747,13,5.500928
83712437389811,13,5.624832
58404652799869,13,5.31456
20560992429901,13,4.35712
86137397738601,13,4.721664
52544412988187,13,4.570112
40518873400237,13,4.489216
237551194609297,14,5.206016
365975978190219,14,5.502976
868481340832293,14,6.31808
188842472830721,14,5.121024
